time/ns	dene/cm-3
1.860	1.6607988899999998e+24
1.870	1.6871635640000004e+24
1.880	1.710184424e+24
1.890	1.7288131720000002e+24
1.900	1.7385302600000003e+24
1.910	1.7406686180000001e+24
1.920	1.7334851e+24
1.930	1.7153900220000002e+24
1.940	1.6802923740000005e+24
1.950	1.6350346579999998e+24
1.960	1.578233808e+24
1.970	1.518899314e+24
1.980	1.4557954280000003e+24
1.990	1.3898039300000002e+24
2.000	1.329837072e+24
2.010	1.269830936e+24
2.020	1.20922956e+24
2.030	1.154019664e+24
2.040	1.0977463640000001e+24
2.050	1.041038914e+24
2.061	9.849642684000002e+23
2.070	9.373378899999999e+23
2.081	8.910018918000001e+23
2.090	8.525877716000001e+23
2.100	8.08114561e+23
2.110	7.70443715e+23
2.120	7.325645108e+23
2.130	6.945701402e+23
2.140	6.568739349999999e+23
2.151	6.198163782000001e+23
2.161	5.8961256319999995e+23
2.171	5.590342733999999e+23
2.181	5.2947466479999996e+23
2.190	5.0726418e+23
2.201	4.790383239999999e+23
2.210	4.578036747999999e+23
2.222	4.3213999420000005e+23
2.232	4.1145891619999995e+23
2.242	3.925588426e+23
2.252	3.7317229040000005e+23
2.260	3.597611572e+23
2.271	3.413808942e+23
2.280	3.28665047e+23
2.291	3.112151558e+23
2.300	2.990971146e+23
2.310	2.8640823219999995e+23
2.322	2.7094491519999997e+23
2.332	2.5886936239999996e+23
2.342	2.479345356e+23
2.352	2.3636719339999998e+23
2.363	2.257974906e+23
2.370	2.1871029619999997e+23
2.382	2.078839162e+23
2.393	1.981218042e+23
2.401	1.911594062e+23
2.413	1.815113882e+23
2.422	1.7541787680000003e+23
2.430	1.6893627580000004e+23
2.444	1.5994845179999998e+23
2.453	1.5427483599999997e+23
2.462	1.482360304e+23
2.472	1.425639548e+23
2.482	1.3743695219999998e+23
2.492	1.31985612e+23
2.5	1.2769532539999999e+23
